Basis,Quick Draw PSNR@10%,DIV2K PSNR@10%,CLIC PSNR@10%,Avg Rank
QFT,17.762589507469713,28.195521125516798,29.963822904121077,1.6666666666666667
Entangled QFT,17.764062279137903,28.199536472755753,29.96306537626164,1.3333333333333333
TEBD,17.503633117341096,26.60558810630554,29.574954629928623,4.0
MERA,N/A,N/A,N/A,NaN
Classical FFT,17.683986528420075,28.119888026951692,29.870285317157638,3.0
