Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,0.0030855876355190214,0.0018857749587268234,0.0013206489601528494,0.0009801667488384949
Entangled QFT,0.003082725059809514,0.0018842403657149459,0.0013188052954519393,0.0009788937573521283
TEBD,0.0039021917732811927,0.0024743273495256694,0.001735299559337386,0.0012642255203202564
Classical FFT,0.0031279702520329924,0.0019168040764410055,0.001345904061471705,0.0010015162327350476
