Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,28.394056598041523,29.963822904121077,31.1337932527806,32.15041266032386
Entangled QFT,28.393281485838223,29.96306537626164,31.13270536668132,32.149209293776025
TEBD,27.89385208908994,29.574954629928623,30.916765104606213,32.132230813049176
Classical FFT,28.322103930411096,29.870285317157638,31.010526784023227,32.003205701589565
