Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,0.6456234112027052,0.7458723217983243,0.805857319621496,0.8485452510692988
Entangled QFT,0.6456045496917523,0.7458788834924218,0.8058606945878006,0.8485431191292652
TEBD,0.6464814373839239,0.7465563655305613,0.8066224956740892,0.8491666062008659
MERA,0.6460861134187611,0.7462185408795434,0.8061873220628596,0.8487845953555503
Classical FFT,0.563282649886608,0.6515393658693172,0.7042616931791268,0.7423982176652204
Classical DCT,0.5990886194572644,0.6860612800091406,0.7386790719514917,0.7775281721385758
