Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,22.40251854463025,24.50797681519447,26.226778920556963,27.81420071157283
Entangled QFT,22.402474135633973,24.507939342049646,26.226708127224143,27.81417385417345
TEBD,22.403858191800367,24.509657145116684,26.227825415386448,27.815966409523835
MERA,22.403428127156186,24.509675024857703,26.22883169799137,27.816270233332453
Classical FFT,21.614809620480465,23.106931710809278,24.21996130678971,25.195499674716835
Classical DCT,22.253660801859542,23.926678953690583,25.248283576623994,26.450006293444957
