Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,0.007238962058946452,0.0046668172628639105,0.0032595733391065185,0.0023432729402577384
Entangled QFT,0.007239015286597236,0.004666835111721398,0.0032596032981644556,0.002343280886776062
TEBD,0.007237282046702732,0.004666016542187498,0.0032593698746469744,0.002342761601778853
MERA,0.007237781673331671,0.004665863635092105,0.0032586923617651683,0.002342668359671201
Classical FFT,0.008246050936565354,0.005975374299775157,0.00468357408936213,0.0037725894197333633
Classical DCT,0.007205643408470646,0.004985089852158483,0.003709450020530305,0.0028282558743657265
