Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,27.36828211044321,29.45775656345088,31.045357389731304,32.44108778376742
Entangled QFT,27.578912932595912,29.73164974518162,31.381141980225767,32.84229736249451
TEBD,27.963842478093106,30.561789024274095,32.6922060610668,34.64113437317366
Classical FFT,26.82272615433413,28.603770545106364,29.90762826901303,31.02179985561135
