Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,0.017291803702848302,0.006807326373679099,0.0030901977139896606,0.00143408206880619
Entangled QFT,0.017291803702848316,0.006807326373679123,0.003090197713989682,0.0014340820688062052
TEBD,0.029891413641138273,0.018897152006444123,0.012743993940264575,0.00893906004071005
Classical FFT,0.030496827192792172,0.019222415233475475,0.012964751068853113,0.009169001396734518
Classical DCT,0.024959762592623974,0.01446233588403694,0.009207333661122759,0.006197636063971723
