Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,18.107971313255,22.483455439719172,26.315278753544018,30.26317243732161
Entangled QFT,18.107971313254996,22.483455439719155,26.31527875354398,30.26317243732155
TEBD,15.375824726567641,17.39392908494262,19.118695109739097,20.66839535910547
Classical FFT,15.312253693045953,17.331356064804467,19.05120662073558,20.561678230152925
Classical DCT,16.174684990495745,18.550756997830305,20.524696654051404,22.2552926037476
