Basis,5%_kept,10%_kept,15%_kept,20%_kept
QFT,28.15385791194037,30.830516600734246,32.82232021026949,34.53007896116076
Entangled QFT,28.046091391998928,30.699379088466404,32.67078403781668,34.35996334760955
TEBD,28.10901251394051,30.91441176684706,33.11856413698414,35.08384761216164
Classical FFT,27.331170823734283,29.68102854177596,31.409043188928578,32.874381301518994
