Basis,Quick Draw PSNR@10%,DIV2K (8q) PSNR@10%,Avg Rank
QFT,22.483455439719172,24.50797681519447,2.0
Entangled QFT,22.483455439719155,24.507939342049646,3.0
TEBD,17.39392908494262,24.509657145116684,3.0
MERA,N/A,24.509675024857703,1.0
Classical FFT,17.331356064804467,23.106931710809278,5.5
Classical DCT,18.550756997830305,23.926678953690583,4.0
